"Year","Tm","R.G","ROE","XI","RS.","SBO","SB","CS","SB.","SB2","CS2","SB3","CS3","SBH","CSH","PO","PCS","OOB","OOB1","OOB2","OOB3","OOBHm","BT","XBT.","X1stS","X1stS2","X1stS3","X1stD","X1stD3","X1stDH","X2ndS","X2ndS3","X2ndSH"
2016,"Baltimore Orioles",4.59,49,"0%","29%",2166,19,"1300%","59%",19,11,0,2,0,0,6,0,41,7,11,9,14,"15100%","39%",273,198,72,91,51,37,163,60,98
2016,"Boston Red Sox",5.42,55,"100%","33%",2420,83,"2400%","78%",71,19,11,3,1,2,13,4,65,7,26,13,19,"15100%","43%",337,220,115,121,68,51,180,66,105
2016,"Chicago Cubs",4.99,49,"100%","31%",2463,66,"3400%","66%",57,30,9,1,0,3,9,3,67,13,19,12,23,"18400%","43%",311,209,98,98,57,38,178,50,118
2016,"Chicago White Sox",4.23,52,"0%","29%",2186,77,"3600%","68%",69,35,8,1,0,0,16,10,60,7,18,14,21,"11500%","41%",298,205,86,78,54,24,197,62,123
2016,"Cincinnati Reds",4.42,55,"100%","31%",2106,139,"5100%","73%",106,37,33,12,0,2,19,9,58,5,17,15,21,"12400%","37%",267,193,69,83,47,32,175,75,91
2016,"Cleveland Indians",4.83,55,"0%","32%",2219,134,"3100%","81%",104,25,29,6,1,0,9,3,56,8,22,10,16,"18600%","45%",278,195,78,88,48,38,184,50,129
2016,"Colorado Rockies",5.22,48,"0%","34%",2224,66,"3900%","63%",58,35,8,4,0,0,16,7,52,13,9,13,17,"17000%","44%",284,188,93,95,50,43,174,55,109
2016,"Detroit Tigers",4.66,41,"0%","29%",2202,58,"2900%","67%",54,26,4,3,0,0,14,8,55,8,17,13,17,"17100%","34%",321,241,74,73,42,27,176,79,94
2016,"Houston Astros",4.47,67,"0%","29%",2184,102,"4400%","70%",90,34,12,9,0,1,11,5,52,12,15,13,12,"13900%","43%",250,167,80,79,46,31,164,54,101
2016,"Kansas City Royals",4.17,55,"100%","30%",2119,121,"3500%","78%",102,31,19,4,0,0,13,6,47,5,15,15,12,"12800%","42%",320,225,92,71,37,33,200,67,123
2016,"Los Angeles Angels",4.43,56,"300%","31%",2189,73,"3400%","68%",60,30,12,4,1,0,6,3,77,16,27,16,18,"17200%","39%",324,223,93,88,56,31,199,81,112
2016,"Los Angeles Dodgers",4.48,55,"100%","30%",2196,45,"2600%","63%",40,22,5,2,0,2,5,2,50,4,19,10,17,"15100%","43%",320,206,108,91,56,32,153,42,104
2016,"Miami Marlins",4.07,65,"200%","28%",2316,71,"2800%","72%",61,25,10,3,0,0,7,4,44,13,12,12,7,"13000%","39%",318,232,79,84,48,34,188,65,115
2016,"Milwaukee Brewers",4.14,43,"300%","27%",2082,181,"5600%","76%",145,46,35,10,1,0,17,6,66,11,15,13,27,"13400%","40%",233,160,70,69,42,23,148,49,85
2016,"Minnesota Twins",4.46,48,"0%","29%",2225,91,"3200%","74%",87,31,4,1,0,0,7,3,54,7,16,19,12,"14200%","43%",263,171,87,80,41,37,155,59,92
2016,"New York Mets",4.14,43,"100%","26%",2206,42,"1800%","70%",32,17,10,1,0,0,9,6,47,7,19,8,13,"12100%","34%",293,212,78,69,45,21,142,64,73
2016,"New York Yankees",4.2,49,"1400%","29%",2142,72,"2200%","77%",64,21,5,1,3,0,10,5,42,8,12,10,12,"17800%","37%",317,240,73,89,48,40,156,59,95
2016,"Oakland Athletics",4.03,61,"0%","29%",2088,50,"2300%","68%",44,23,6,0,0,0,5,3,48,8,16,8,16,"11700%","38%",269,204,63,92,53,36,158,51,98
2016,"Philadelphia Phillies",3.77,62,"0%","27%",2050,96,"4500%","68%",83,41,12,3,1,1,13,6,52,13,8,12,19,"10800%","39%",261,184,76,64,36,26,132,52,75
2016,"Pittsburgh Pirates",4.5,66,"0%","30%",2291,110,"4500%","71%",100,37,10,6,0,2,17,6,64,8,20,15,21,"15200%","35%",315,244,63,88,53,32,212,77,117
2016,"San Diego Padres",4.23,49,"300%","31%",2054,125,"4500%","74%",103,40,18,5,4,0,20,9,52,4,16,17,15,"13100%","50%",229,148,79,76,34,40,157,38,111
2016,"Seattle Mariners",4.74,46,"100%","30%",2214,56,"2800%","67%",48,26,8,1,0,1,9,5,59,5,24,10,20,"14600%","38%",313,220,91,79,50,26,171,71,94
2016,"San Francisco Giants",4.41,55,"400%","30%",2359,79,"3600%","69%",70,33,9,3,0,0,13,7,58,11,22,11,14,"19200%","39%",331,238,90,100,56,42,199,80,113
2016,"St. Louis Cardinals",4.81,63,"100%","30%",2285,35,"2600%","57%",33,19,2,6,0,1,10,2,55,6,16,13,20,"14700%","38%",273,196,75,99,57,36,163,67,92
2016,"Tampa Bay Rays",4.15,45,"100%","28%",2085,60,"3700%","62%",48,33,12,3,0,1,12,1,52,8,16,15,13,"13200%","40%",222,154,65,85,47,36,130,52,74
2016,"Texas Rangers",4.72,58,"0%","31%",2154,99,"3600%","73%",87,34,11,1,1,1,16,7,68,11,19,15,23,"14300%","43%",317,208,105,78,39,35,175,56,105
2016,"Toronto Blue Jays",4.69,47,"100%","29%",2259,54,"2400%","69%",45,22,9,1,0,1,7,4,56,7,17,18,14,"16200%","38%",285,202,75,76,41,33,150,58,88
2016,"Washington Nationals",4.71,45,"0%","31%",2200,121,"3900%","76%",102,37,18,2,1,0,11,7,55,13,15,14,13,"16400%","43%",285,191,88,83,37,42,164,57,101
2016,"League Average",4.48,53,"100%","30%",2206,85,"3300%","72%",72,29,12,4,0,1,11,5,55,9,17,13,17,"14900%","40%",290,203,83,84,48,34,170,61,101
2017,"Arizona Diamondbacks",5.01,50,"100%","32%",2233,103,"3000%","77%",77,24,25,6,1,0,10,3,38,2,9,10,17,"13700%","45%",254,171,82,96,53,42,165,52,106
2017,"Atlanta Braves",4.52,54,"100%","30%",2295,77,"3100%","71%",64,29,13,2,0,0,12,7,41,3,16,7,15,"10600%","45%",303,215,85,83,48,34,190,40,141
2017,"Baltimore Orioles",4.59,58,"100%","30%",2181,32,"1300%","71%",25,11,6,2,1,0,1,1,52,5,16,13,18,"15600%","37%",294,215,73,85,46,37,166,66,91
2017,"Boston Red Sox",4.85,62,"0%","32%",2343,106,"3100%","77%",84,28,22,3,0,0,6,3,81,8,25,19,29,"17500%","43%",306,199,98,99,58,37,182,61,115
2017,"Chicago Cubs",5.07,61,"300%","32%",2318,62,"3100%","67%",56,25,5,6,1,0,13,8,60,13,13,15,19,"14700%","42%",284,188,88,84,46,37,173,69,101
2017,"Chicago White Sox",4.36,65,"100%","30%",2165,71,"3100%","70%",61,25,10,3,0,3,10,4,58,9,16,17,16,"14000%","39%",296,218,76,74,38,34,152,54,93
2017,"Cincinnati Reds",4.65,47,"0%","29%",2227,120,"3900%","75%",104,30,16,8,0,1,17,8,46,7,8,11,20,"12500%","33%",292,217,71,74,40,28,176,85,81
2017,"Cleveland Indians",5.05,53,"100%","31%",2309,88,"2300%","79%",79,21,9,2,0,0,7,3,43,3,10,13,17,"17600%","38%",302,222,77,106,62,41,166,60,99
2017,"Colorado Rockies",5.09,51,"100%","33%",2301,59,"3400%","63%",51,32,8,2,0,0,14,6,49,11,8,14,16,"17200%","44%",308,216,89,100,49,49,177,53,117
2017,"Detroit Tigers",4.54,56,"100%","30%",2253,65,"3400%","66%",56,33,9,1,0,0,8,5,55,8,21,16,10,"12900%","37%",294,221,69,90,57,33,169,59,101
2017,"Houston Astros",5.53,62,"900%","34%",2346,98,"4200%","70%",80,37,18,5,0,0,16,7,69,11,22,16,20,"19200%","39%",333,232,94,103,54,47,203,81,110
2017,"Kansas City Royals",4.33,53,"200%","30%",2191,91,"3100%","75%",74,27,17,3,0,1,10,6,37,7,16,6,8,"15000%","40%",285,214,69,86,40,46,155,55,93
2017,"Los Angeles Angels",4.38,50,"200%","30%",2086,136,"4400%","76%",115,38,20,5,1,1,15,11,52,6,14,17,15,"15300%","42%",271,181,83,78,48,29,151,49,97
